"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",843,282,0.335,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",909,319,0.351,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",34,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",383,161,0.42,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1066,460,0.432,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",152,61,0.401,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",179,79,0.441,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",434,167,0.385,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",448,191,0.426,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",137,66,0.482,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",524,221,0.422,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",584,252,0.432,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",521,199,0.382,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",605,247,0.408,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",471,176,0.374,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",452,169,0.374,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4117,2406,0.584,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",403,161,0.4,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",7,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",415,141,0.34,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",804,269,0.335,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",864,301,0.348,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",47,3,0.064,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",434,182,0.419,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1271,465,0.366,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",122,40,0.328,2
